@relation genres

@attribute spotifygenre {'21st century classical','abstract beats',abstractro,'a cappella',accordeon,'acid jazz','acid techno',acousmatic,'acoustic blues','acoustic pop','acoustic punk','adelaide indie',adoracao,'adult standards','african gospel','african percussion',afrobeat,afrobeats,'afro house',afropop,'alaska indie','albanian hip hop','alberta country','album rock','alternative ccm','alternative country','alternative dance','alternative emo','alternative hip hop','alternative metal','alternative pop','alternative pop rock','alternative rock','alternative roots rock',alt-idol,ambeat,ambient,'ambient idm','american 21st century classical','american contemporary classical','american folk revival','american modern classical','anglican liturgy','anthem emo','anthem worship',anti-folk,'appalachian folk','arab alternative',arabesk,'arab folk','arabic hip hop','arab pop','argentine alternative rock','argentine hip hop','argentine indie','argentine rock','art pop','art rock',asmr,'atl hip hop',atmosphere,'atmospheric post-metal','atmospheric post-rock','aussie emo',aussietronica,austindie,'australian alternative rock','australian americana','australian classical','australian country','australian dance','australian garage punk','australian hip hop','australian indie','australian indie rock','australian indigenous','australian metal','australian pop','australian post-hardcore','australian r&b','australian reggae fusion','australian rock','australian singer-songwriter','australian underground hip hop','austro-german modernism','autonomous black metal',avant-garde,'avant-garde jazz','avantgarde metal',azonto,azontobeats,bachata,'baile funk','baile pop',balfolk,'balkan brass','ballet class','baltic classical',bangla,banjo,baroque,bassline,'bass music','bass trap',batida,'bay area indie',beatdown,bebop,'bedroom pop','belgian hip hop','belgian pop','belly dance',bhangra,'big band','big beat','big room',bluegrass,blues,blues-rock,boogaloo,boogie-woogie,'bossa nova','bossa nova jazz','boston hardcore','boston hip hop','boston indie','boston punk','boston rock','bow pop','boy band','brass band','brazilian ccm','brazilian composition','brazilian electronica','brazilian gospel','brazilian hip hop',breakbeat,'brega funk','brill building pop','brisbane indie','bristol indie','british alternative rock','british contemporary classical','british country','british jazz','british modern classical',britpop,'brooklyn indie',brostep,'bubblegum dance','bubblegum pop','bulgarian hip hop',c86,cabaret,'canadian blues','canadian classical','canadian contemporary country','canadian contemporary r&b','canadian country','canadian folk','canadian hip hop','canadian indie','canadian metal','canadian modern jazz','canadian pop','canadian punk','canadian rock','candy pop',cantautor,'canterbury scene',catstep,celtic,'chamber pop','chamber psych',chanson,'chanson paillarde','chant religieux','chaotic hardcore','chicago blues','chicago house','chicago indie','chicago punk','chicago soul','chicano rap','childrens folk kindie rock','childrens music','childrens music nursery','chilean indie','chilean rock',chillhop,chillstep,chillwave,choro,'christian alternative rock','christian hardcore','christian hip hop','christian metal','christian punk','christian relaxative','christian rock','christian trap','christian uplift',christmas,classical,'classical era','classical guitar','classical organ','classical performance','classical piano','classical trumpet','classic arab pop','classic belgian pop','classic bollywood','classic canadian rock','classic french pop','classic garage rock','classic girl group','classic praise','classic rock','classic soul','colombian indie','colombian pop','colombian rock','comedy rock',complextro,'compositional ambient','concert band','conscious hip hop','contemporary classical','contemporary country','contemporary jazz','contemporary post-bop','cool jazz',country,'country blues','country dawn','country gospel','country road','country rock',coverchill,'cowboy western','crack rock steady','crossover thrash',crunk,cuarteto,'cuban rumba',cumbia,'cumbia paraguaya','cumbia pop','cumbia villera','cyber metal',cyberpunk,dancehall,'dance pop',dance-punk,'dance rock',dangdut,'danish alternative rock','danish classical','danish metal','danish pop','dark jazz','dark wave','death core','death metal','deep acoustic pop','deep adult standards','deep big room','deep chiptune','deep christian rock','deep contemporary country','deep disco','deep disco house','deep euro house','deep funk','deep funk carioca','deep german hip hop','deep groove house','deep house','deep indian pop','deep indie pop','deep indie singer-songwriter','deep latin christian','deep new americana','deep pop edm','deep pop punk','deep pop r&b','deep southern trap','deep surf music','deep tech house','deep trap','deep tropical house','deep turkish pop','deep underground hip hop','delta blues',dembow,desi,'desi hip hop','detroit hip hop','detroit techno',didgeridoo,'dinner jazz','dirty south rap',disco,'disco house',disney,'diva house',djent,'doom metal',doo-wop,downtempo,dreamo,'dream pop',drift,drill,drone,'drone metal','drum and bass',dub,dubstep,'dub techno','dutch house','dutch indie','dutch pop','dutch punk','dutch rock',e6fi,'early modern classical','early music','early romantic era','east coast hip hop',easycore,'easy listening','ecuadorian alternative rock',edm,'edmonton indie','egyptian pop',electra,'electric blues',electro,electroclash,'electro dub','electro house','electro latino',electronic,'electronic trap',electropop,electropowerpop,'electro swing',emo,'emo rap','english baroque','english indie rock','english renaissance',epicore,'escape room','ethereal wave',etherpop,eurodance,europop,eurovision,exotica,experimental,'experimental pop','experimental rock','fallen angel','fast melodic punk','fidget house',filmi,'filter house',filthstep,fingerstyle,'finnish classical','finnish edm','float house',fluxwork,focus,folk,folk-pop,'folk punk','folk rock',footwork,'fourth world','franco-flemish school',francoton,'freak folk','free improvisation','free jazz','fremantle indie','french baroque','french contemporary classical','french folk pop','french hip hop','french indie pop','french indietronica','french jazz','french opera','french pop','french renaissance','french rock',funana,funk,'funk metal','funk rock','funky tech house','future garage','galante era','gangster rap','garage pop','garage psych','garage punk','garage punk blues','garage rock','gauze pop',gbvfi,'german baroque','german contemporary classical','german hip hop','german indie','german jazz','german metal','german opera','german pop','german renaissance','german techno','g funk','ghanaian hip hop',ghazal,'girl group','glam metal','glam rock',glitch,'glitch hop',gnawa,gospel,'gospel blues','gospel reggae','gothenburg indie','gothic alternative','gothic metal','gothic rock','gothic symphonic metal',gqom,'grave wave','greek contemporary classical',grime,'groove metal','groove room',grunge,'gypsy jazz','gypsy punk','haitian gospel','halifax indie','hard bop',hardcore,'hardcore hip hop','hardcore punk','hard rock',hauntology,'heartland rock','hebrew pop','hip hop','hip hop quebecois','hip house',hiplife,'hip pop','historic piano performance',house,'hungarian contemporary classical',hyphy,'icelandic classical','icelandic electronic','icelandic indie','icelandic pop','icelandic rock',idol,'idol rock','indian folk','indian indie','indian pop','indian rock','indie anthem-folk','indie catala',indiecoustica,'indie deutschrap','indie dream pop','indie electro-pop','indie folk','indie garage rock','indie jazz','indie pop','indie pop rap','indie poptimism','indie psych-pop','indie psych-rock','indie punk','indie quebecois','indie r&b','indie rock','indie rockism','indie surf',indietronica,'indonesian hip hop','indonesian indie','indonesian jazz','indonesian pop',industrial,'industrial metal','industrial rock','instrumental funk','instrumental post-rock','instrumental rock','intelligent dance music','iraqi pop','irish classical','irish hip hop','irish neo-traditional','irish rock','irish singer-songwriter','israeli hip hop','israeli indie','israeli mediterranean','israeli metal','israeli pop','israeli rock','italian baroque','italian contemporary classical','italian hip hop','italian metal','italian opera','italian pop','italian renaissance','italo dance','jam band','jangle pop','japanese city pop','japanese classical','japanese jazz','japanese jazztronica','japanese r&b',jazz,'jazz blues','jazz boom bap','jazz double bass','jazz electric bass','jazz funk','jazz fusion','jazz guitar','jazz metal','jazz mexicano','jazz organ','jazz piano','jazz rap','jazz saxophone','jazz trio','jazz trombone','jazz trumpet','jazz vibraphone',j-dance,j-idol,j-indie,j-metal,j-pop,j-punk,j-rap,j-rock,'jump blues','jump up',khaliji,k-hop,k-indie,'kindie rock','kiwi rock',kompa,'korean pop','korean r&b',k-pop,krautrock,k-rock,'kwaito house',laboratorio,'la indie','late romantic era','latin arena pop','latin classical','latin hip hop','latin jazz','latin pop','latin rock',latintronica,'latin viral pop','lebanese pop','lgbtq hip hop','lift kit',lilith,'liquid funk',lo-fi,'lo-fi beats','louisiana blues','louisville indie',lounge,louvor,'lovers rock',madchester,'malaysian hip hop','malaysian pop',mallet,'malmo indie',mambo,mandible,mathcore,'math pop','math rock',mbira,medieval,'medieval rock',meditation,melancholia,'melbourne bounce','melbourne indie','mellow gold','melodic death metal','melodic hardcore','melodic hard rock','melodic metalcore','melodic progressive metal',melodipop,'memphis blues','memphis hip hop','memphis soul',merengue,merseybeat,metal,metalcore,'metallic hardcore',metropopolis,'mexican classical','mexican indie','mexican pop','mexican rock',microhouse,minimal,'minimal tech house','minimal techno','minneapolis indie','modern alternative rock','modern blues','modern blues rock','modern bollywood','modern country rock','modern hard rock','modern rock','modern ska punk',moombahton,motown,'musique concrete','nashville indie','nashville sound','neo classical metal',neo-psychedelic,'neo soul',neo-synthpop,'neo-trad doom metal','neo-trad metal',nepali,'new age','new age piano','new americana','newfoundland indie','new jack swing','new jersey indie','new orleans blues','new orleans funk','new orleans jazz','new rave','new romantic','new wave','new wave pop','new weird america','nigerian hip hop',ninja,'noise pop','noise rock','nordic contemporary classical','northern irish indie','northern soul','norwegian alternative','norwegian classical','norwegian metal','norwegian pop','norwegian pop rap','norwegian rock','no wave','nu age','nu disco','nueva cancion','nu gaze','nu jazz','nu metal',nwobhm,'nz hip hop','nz pop','nz singer-songwriter',oi,'ok indie','old school hip hop',old-time,'operatic pop','orchestral performance','oriental metal','orquesta tipica','outlaw country','outsider house','pagan black metal','pakistani pop','palestinian pop','panamanian pop','permanent wave','persian pop','perth indie','p funk','philly indie','piano blues','piano rock','piedmont blues','pinoy hip hop',pixie,'polish classical','polish contemporary classical','polish jazz','polish modern jazz',pop,'pop catracho','pop emo',popgaze,'pop punk','pop quebecois','pop rap','pop reggaeton','pop rock','portland indie','portuguese pop',post-disco,'post-doom metal',post-grunge,post-hardcore,post-metal,post-punk,post-rock,'post-romantic era',post-screamo,'post-teen pop','power metal','power pop','power-pop punk',preverb,'progressive alternative','progressive bluegrass','progressive deathcore','progressive electro house','progressive house','progressive metal','progressive post-hardcore','progressive rock','progressive trance','progressive trance house',protopunk,'psychedelic doom','psychedelic rock',psychobilly,'puerto rican indie',punjabi,punk,'punk blues',qawwali,'quebec indie','quiet storm',ragtime,rai,rap,'rap conscient','rap cristiano','rap dominicano','rap maroc','rap metal','rap rock',r&b,'red dirt',reggae,'reggae fusion','reggae rock',reggaeton,'reggaeton flow',renaissance,'retro metal','rhythm and blues',riddim,rif,'riot grrrl',rock,rockabilly,rock-and-roll,'rock cristiano','rock en espanol','rock nacional','rock steady','roots americana','roots reggae','roots rock','rune folk','russian contemporary classical','russian modern classical','russian romanticism','rva indie',salsa,'sci-fi metal',scorecore,'scottish indie','scottish indie rock','scottish new wave','scottish rock',screamo,'seattle indie',serialism,'sheffield indie',shibuya-kei,'shimmer pop','shiver pop',shoegaze,'show tunes',singer-songwriter,ska,'ska argentino','ska punk','ska revival','skate punk','sky room','slack-key guitar','sleaze rock','slow core','sludge metal','small room','smooth jazz','smooth soul',soca,'soft rock',soul,'soul blues','soul jazz','south african hip hop','south african pop','southern hip hop','southern rock','southern soul','space age pop','space rock','spanish indie pop','spanish modern rock','spanish noise pop','spanish pop','spanish pop rock','spanish punk','spanish reggae','spanish rock','speed garage','speed metal','steel guitar','stomp and flutter','stomp and holler','stoner metal','stoner rock','straight edge',stride,sufi,'surf music','swedish alternative rock','swedish americana','swedish classical','swedish electropop','swedish hardcore','swedish idol pop','swedish indie pop','swedish indie rock','swedish jazz','swedish metal','swedish pop','swedish reggae','swedish singer-songwriter','swedish soul','swedish synthpop',swing,'symphonic metal','symphonic power metal','symphonic rock',synthpop,'syrian pop',tango,'tech house',techno,'teen pop','texas blues','texas country','thrash core','thrash metal','tin pan alley','toronto indie',tracestep,'traditional blues','traditional country','traditional folk',trance,'trap music','trap queen',traprun,'trap soul','tribal house','trip hop',tropical,'tropical house','tropical pop edm',trova,'turkish alternative','turkish alternative rock','turkish hip hop','turkish jazz','turkish modern jazz','turkish pop','turkish rock','turkish singer-songwriter','turkish trap',turntablism,'twee pop',tzadik,'uk alternative hip hop','uk americana','uk contemporary r&b','uk drill','uk funky','uk garage','uk hip hop','uk post-punk','ukrainian classical',ukulele,'underground hip hop','uplifting trance','urban contemporary','vancouver indie','vancouver punk','vapor pop','vapor soul','vapor trap','vapor twitch',vaporwave,'vegan straight edge','venezuelan rock','vienna indie','vintage french electronic','vintage tango','viral pop','vocal house','vocal jazz','warm drone',wave,'west australian hip hop','west coast rap','west coast trap','witch house',wonky,'world fusion','world worship','ye ye','zim urban groove',zolo,zouk}
@attribute bluesroots {FALSE,TRUE}
@attribute classical {TRUE,FALSE}
@attribute country {FALSE,TRUE}
@attribute electronic {FALSE,TRUE}
@attribute folk {FALSE,TRUE}
@attribute funksoul {FALSE,TRUE}
@attribute hiphop {FALSE,TRUE}
@attribute jazz {FALSE,TRUE}
@attribute metalpunk {FALSE,TRUE}
@attribute pop {FALSE,TRUE}
@attribute reggaedub {FALSE,TRUE}
@attribute rock {FALSE,TRUE}
@attribute world {FALSE,TRUE}

@data
'israeli indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'israeli mediterranean',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'israeli metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'israeli pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'israeli rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'italian baroque',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'italian contemporary classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'italian hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'italian metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'italian opera',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'italian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'italian renaissance',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'italo dance',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'jam band',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
'jangle pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
'japanese city pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'japanese classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'japanese jazz',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'japanese jazztronica',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'japanese r&b',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
jazz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz boom bap',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz double bass',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz electric bass',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz funk',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz fusion',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
'jazz guitar',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
'jazz mexicano',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
'jazz organ',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz piano',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz rap',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz saxophone',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz trio',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz trombone',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz trumpet',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'jazz vibraphone',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
j-dance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
j-idol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
j-indie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
j-metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
j-pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
j-punk,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
j-rap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
j-rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'jump blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'jump up',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
khaliji,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
k-hop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k-indie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'kindie rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'kiwi rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
kompa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'korean pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'korean r&b',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k-pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
krautrock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
k-rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'kwaito house',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
laboratorio,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'la indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'late romantic era',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'latin arena pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'latin classical',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'latin hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'latin jazz',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
'latin pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'latin rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
latintronica,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'latin viral pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'lebanese pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'lgbtq hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'lift kit',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lilith,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'liquid funk',FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
lo-fi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'lo-fi beats',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'louisiana blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'louisville indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
lounge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
louvor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'lovers rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
madchester,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
'malaysian hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
'malaysian pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
mallet,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'malmo indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
mambo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
mandible,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mathcore,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'math pop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'math rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
mbira,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
medieval,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'medieval rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
meditation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
melancholia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'melbourne bounce',FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'melbourne indie',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'mellow gold',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
'melodic death metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'melodic hardcore',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'melodic hard rock',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
'melodic metalcore',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
'melodic progressive metal',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
melodipop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
'memphis blues',TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
'memphis hip hop',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
